Year	DoY	Hour	NEE	PAR	T10
-	-	-	umolm-2s-1	umolm-2s-1	degC
2021	9	13	0.1170404	14.41	0.936
2021	9	13.5	0.11693905	11.79	0.937
2021	9	14	0.1537767	6.555	0.938
2021	9	14.5	0.0960569	2.911	0.937
2021	9	15	0.08907583	0.76	0.938
2021	9	15.5	0.09899756	0.237	0.939
2021	9	16	0.10115258	0.192	0.938
2021	9	16.5	0.10475079	0.19	0.938
2021	9	17	0.10021178	0.19	0.94
2021	9	17.5	0.09931969	0.186	0.939
2021	9	18	0.0398671	0.203	0.938
2021	9	18.5	0.06991802	0.21	0.94
2021	9	19	0.09564507	0.229	0.939
2021	9	19.5	0.13562253	0.216	0.94
2021	9	20	0.1447457	0.193	0.939
2021	9	20.5	0.1077563	0.183	0.939
2021	9	21	0.11445364	0.215	0.939
2021	9	21.5	0.11317719	0.239	0.94
2021	9	22	0.11164622	0.258	0.94
2021	9	22.5	0.11199801	0.286	0.941
2021	9	23	0.04708288	0.276	0.94
2021	9	23.5	0.18748627	0.26	0.942
2021	10	0	0.12363691	0.291	0.943
2021	10	0.5	0.10719285	0.271	0.943
2021	10	1	0.11295987	0.27	0.942
2021	10	1.5	0.1328262	0.282	0.941
2021	10	2	0.10663263	0.268	0.941
2021	10	2.5	0.10348413	0.278	0.939
2021	10	3	0.0938892	0.279	0.944
2021	10	3.5	0.1190652	0.285	0.942
2021	10	4	0.06364241	0.28	0.941
2021	10	4.5	0.10594098	0.287	0.941
2021	10	5	0.09391956	0.287	0.941
2021	10	5.5	0.14103431	0.269	0.941
2021	10	6	0.14333645	0.291	0.942
2021	10	6.5	0.1600044	0.278	0.939
2021	10	7	0.07616998	0.245	0.941
2021	10	7.5	0.11444513	0.227	0.939
2021	10	8	0.1180733	0.207	0.942
2021	10	8.5	0.12696217	0.227	0.942
2021	10	9	0.10588692	0.533	0.941
2021	10	9.5	0.05994286	1.764	0.942
2021	10	10	0.11592823	4.842	0.938
2021	10	10.5	0.1650598	7.527	0.942
2021	10	11	0.11852418	11.3	0.941
2021	10	11.5	0.10987305	11.99	0.943
2021	10	12	0.11000939	10.75	0.943
2021	10	12.5	0.1243191	8.8	0.944
2021	10	13	0.08098642	14.82	0.944
2021	10	13.5	0.0954436	13.51	0.942
2021	10	14	0.06049723	6.561	0.942
2021	10	14.5	0.07231717	4.467	0.94
2021	10	15	0.08014556	0.756	0.939
2021	10	15.5	0.10224711	0.101	0.942
2021	10	16	0.10315828	0	0.946
2021	10	16.5	0.10508925	0	0.943
2021	10	17	0.10437585	0.003	0.939
2021	10	17.5	0.10396425	0.038	0.939
2021	10	18	0.09720285	0.049	0.939
2021	10	18.5	0.09818719	0.025	0.938
2021	10	19	0.12017818	0.032	0.939
2021	10	19.5	0.0978065	0.038	0.939
2021	10	20	0.03625275	0.069	0.939
2021	10	20.5	0.0487794	0.055	0.938
2021	10	21	0.08423171	0.128	0.939
2021	10	21.5	0.08071703	0.146	0.938
2021	10	22	0.08104888	0.101	0.939
2021	10	22.5	0.0220538	0.107	0.939
2021	10	23	0.11861628	0.145	0.939
2021	10	23.5	0.09507173	0.148	0.937
2021	11	0	0.10107359	0.113	0.939
2021	11	0.5	0.09518893	0.137	0.936
2021	11	1	0.09532189	0.122	0.939
2021	11	1.5	0.1093426	0.118	0.939
2021	11	2	0.0870122	0.132	0.938
2021	11	2.5	0.10102858	0.145	0.938
2021	11	3	0.0961176	0.19	0.939
2021	11	3.5	0.10080458	0.127	0.94
2021	11	4	0.07919417	0.092	0.939
2021	11	4.5	0.09901413	0.104	0.939
2021	11	5	0.09901413	0.136	0.934
2021	11	5.5	0.1172297	0.145	0.941
2021	11	6	0.12996654	0.155	0.94
2021	11	6.5	0.2042116	0.173	0.94
2021	11	7	0.09708703	0.219	0.939
2021	11	7.5	0.17847198	0.237	0.94
2021	11	8	0.11380595	0.201	0.938
2021	11	8.5	0.11659293	0.223	0.939
2021	11	9	0.0990445	0.779	0.94
2021	11	9.5	0.10697338	3.506	0.938
2021	11	10	0.09710441	8.66	0.939
2021	11	10.5	0.09318789	15.42	0.938
2021	11	11	0.0588204	22.09	0.94
2021	11	11.5	0.09967544	29	0.94
2021	11	12	0.1419025	31.53	0.941
2021	11	12.5	0.0597388	28.66	0.943
2021	11	13	0.06307332	20.78	0.943
2021	11	13.5	0.10292193	12.72	0.943
2021	11	14	0.09894372	8.81	0.942
2021	11	14.5	0.10332238	4.224	0.939
2021	11	15	0.04833745	1.261	0.94
2021	11	15.5	0.09543303	0.21	0.939
2021	11	16	0.08000232	0.215	0.942
2021	11	16.5	0.03908134	0	0.941
2021	11	17	0.06816442	0	0.939
2021	11	17.5	0.08243987	0	0.941
2021	11	18	-0.167849	0	0.942
2021	11	18.5	0.12713858	0	0.941
2021	11	19	0.2380385	0	0.941
2021	11	19.5	0.12715171	0	0.94
2021	11	20	0.0944055	0	0.941
2021	11	20.5	0.11091852	0	0.94
2021	11	21	0.0838523	0.161	0.943
2021	11	21.5	0.10243033	0.201	0.941
2021	11	22	0.10060219	0.133	0.943
2021	11	22.5	0.10180462	0.093	0.943
2021	11	23	0.09488802	0.099	0.94
2021	11	23.5	0.11682024	0.072	0.942
2021	12	0	0.10612769	0.119	0.943
2021	12	0.5	0.10612769	0.116	0.943
2021	12	1	0.10260197	0.083	0.94
2021	12	1.5	0.10922991	0.116	0.945
2021	12	2	0.13177791	0.069	0.946
2021	12	2.5	0.1691532	0.103	0.943
2021	12	3	0.2816087	0.076	0.943
2021	12	3.5	0.12487618	0.071	0.944
2021	12	4	0.12190957	0.096	0.941
2021	12	4.5	0.12190957	0.08	0.943
2021	12	5	0.1223657	0.077	0.945
2021	12	5.5	0.1205729	0.121	0.945
2021	12	6	0.14619946	0.129	0.948
2021	12	6.5	0.15477093	0.155	0.949
2021	12	7	0.15173423	0.141	0.949
2021	12	7.5	0.11543036	0.169	0.948
2021	12	8	0.12242167	0.149	0.948
2021	12	8.5	0.1858467	0.18	0.948
2021	12	9	0.09915507	0.315	0.948
2021	12	9.5	0.10500999	0.96	0.951
2021	12	10	0.12601997	3.382	0.951
2021	12	10.5	0.14231963	7.98	0.952
2021	12	11	0.1530139	15	0.952
2021	12	11.5	0.2468998	18.5	0.952
2021	12	12	0.17378811	19.13	0.951
2021	12	12.5	0.15874544	20.05	0.95
2021	12	13	0.16003725	17.19	0.95
2021	12	13.5	0.15660483	14.08	0.952
2021	12	14	0.12165427	8.6	0.952
2021	12	14.5	0.16360193	3.873	0.952
2021	12	15	0.14524376	1.19	0.954
2021	12	15.5	0.13752973	0.179	0.954
2021	12	16	0.13724339	0.079	0.956
2021	12	16.5	0.1503577	0.099	0.955
2021	12	17	0.15196975	0.093	0.955
2021	12	17.5	0.12835148	0.083	0.956
2021	12	18	0.11246059	0.076	0.955
2021	12	18.5	0.15332277	0.053	0.955
2021	12	19	0.15332277	0.059	0.955
2021	12	19.5	0.1011644	0.033	0.955
2021	12	20	0.17915792	0.039	0.956
2021	12	20.5	0.21809786	0.036	0.954
2021	12	21	0.17437387	0.051	0.953
2021	12	21.5	0.26553229	0.035	0.955
2021	12	22	0.16346738	0.042	0.964
2021	12	22.5	0.09717435	0.035	0.955
2021	12	23	0.08172159	0.018	0.954
2021	12	23.5	0.1258112	0.004	0.955
2021	13	0	0.14016897	0	0.956
2021	13	0.5	0.18017752	0	0.954
2021	13	1	0.25328221	0	0.955
2021	13	1.5	0.19624169	0.012	0.952
2021	13	2	0.14183071	0.006	0.953
2021	13	2.5	0.14088155	0	0.953
2021	13	3	0.08017931	0	0.953
2021	13	3.5	0.13633433	0	0.952
2021	13	4	0.11649109	0	0.952
2021	13	4.5	0.1421354	0	0.951
2021	13	5	0.13198069	0	0.951
2021	13	5.5	0.20672966	0	0.953
2021	13	6	0.20121954	0	0.951
2021	13	6.5	0.19720727	0	0.952
2021	13	7	0.14578801	0.001	0.951
2021	13	7.5	0.24595679	0.022	0.948
2021	13	8	0.2377144	0.028	0.948
2021	13	8.5	0.21346642	0.189	0.948
2021	13	9	0.23531049	2.027	0.947
2021	13	9.5	0.1678801	13.77	0.948
2021	13	10	0.09212467	33.45	0.948
2021	13	10.5	0.08595477	45.43	0.947
2021	13	11	0.0902829	51.15	0.946
2021	13	11.5	0.1853828	56.12	0.946
2021	13	12	0.14275553	35.18	0.945
2021	13	12.5	0.06948789	24.86	0.946
2021	13	13	0.10853711	21.66	0.946
2021	13	13.5	0.1128656	22.1	0.946
2021	13	14	0.10945	17.95	0.946
2021	13	14.5	0.177244	7.327	0.945
2021	13	15	0.16484922	2.082	0.944
2021	13	15.5	0.1136572	0.249	0.944
2021	13	16	0.0406304	0.033	0.944
2021	13	16.5	0.15029146	0.032	0.945
2021	13	17	0.12841116	0.01	0.944
2021	13	17.5	0.2037004	0	0.944
2021	13	18	0.2135851	0	0.945
2021	13	18.5	-0.17368443	0	0.944
2021	13	19	0.110271	0	0.944
2021	13	19.5	0.11148864	0.038	0.942
2021	13	20	0.11672351	0.114	0.942
2021	13	20.5	0.093518	0.05	0.942
2021	13	21	0.1233793	0.023	0.942
2021	13	21.5	0.1141345	0.051	0.94
2021	13	22	0.04958581	0.075	0.943
2021	13	22.5	0.08741612	0.101	0.943
2021	13	23	0.1051253	0.102	0.94
2021	13	23.5	0.09578565	0.074	0.94
