site,date,tair,tsoil_10cm,WTD,PARin
SE-Hmr,2021-11-30,-15.17,0.36221875,4.566666666666687,8.248208333333334
SE-Hmr,2021-12-01,-18.410625,0.35151041666666666,NA,12.7431875
SE-Hmr,2021-12-02,-16.741041666666668,0.3427291666666667,NA,5.046833333333333
SE-Hmr,2021-12-03,-8.662104166666667,0.35246875,NA,1.8353333333333333
SE-Hmr,2021-12-04,-12.042625,0.35652083333333334,NA,9.971020833333334
SE-Hmr,2021-12-05,-15.275208333333333,0.343625,NA,5.771916666666667
SE-Hmr,2021-12-06,-18.933541666666667,0.3364166666666667,NA,2.9815
SE-Hmr,2021-12-07,-15.0225,0.35573958333333333,NA,2.540729166666667
SE-Hmr,2021-12-08,-13.375208333333333,0.37428125,NA,1.8326041666666666
SE-Hmr,2021-12-09,-6.401041666666667,0.3955208333333334,NA,0.9808541666666667
SE-Hmr,2021-12-10,-5.882833333333333,0.4056666666666667,NA,1.1068125
SE-Hmr,2021-12-11,-3.9476458333333335,0.4112395833333333,NA,0.7485
SE-Hmr,2021-12-12,-2.2257083333333334,0.41412499999999997,NA,0.9000625
SE-Hmr,2021-12-13,-3.8745416666666666,0.41633333333333333,NA,1.7860625
SE-Hmr,2021-12-14,-3.391125,0.42057291666666663,NA,2.1704166666666667
SE-Hmr,2021-12-15,-2.793791666666667,0.42366666666666664,NA,2.440958333333333
SE-Hmr,2021-12-16,-0.0455,0.42785416666666665,NA,1.8791458333333333
SE-Hmr,2021-12-17,0.766,0.42874999999999996,NA,3.9335833333333334
SE-Hmr,2021-12-18,2.023791666666667,0.42173958333333333,NA,5.4095
SE-Hmr,2021-12-19,-1.7042708333333334,0.42392708333333334,NA,3.0699375
SE-Hmr,2021-12-20,-9.951520833333333,0.41525,NA,7.349916666666667
SE-Hmr,2021-12-21,-15.544791666666667,0.3851354166666667,NA,6.5990625
SE-Hmr,2021-12-22,-16.766458333333333,0.3849375,NA,4.950458333333334
SE-Hmr,2021-12-23,-9.975833333333334,0.39171875,NA,2.79875
SE-Hmr,2021-12-24,-11.19375,0.3912083333333333,NA,5.918
SE-Hmr,2021-12-25,-9.726666666666667,0.39123958333333336,NA,7.214125
SE-Hmr,2021-12-26,-13.601041666666667,0.38504166666666667,NA,6.322333333333334
SE-Hmr,2021-12-27,-16.589375,0.37628125,NA,6.9707083333333335
SE-Hmr,2021-12-28,-6.0765,0.37926041666666666,NA,3.7566041666666665
SE-Hmr,2021-12-29,-4.629020833333334,0.38140625,NA,2.06425
SE-Hmr,2021-12-30,-4.5575,0.3821979166666667,NA,2.00775
SE-Hmr,2021-12-31,-9.488270833333333,0.38435416666666666,NA,3.9524375
SE-Hmr,2022-01-01,-12.740208333333333,0.38866666666666666,NA,4.669458333333333
SE-Hmr,2022-01-02,-5.792,0.39856250000000004,NA,1.688875
SE-Hmr,2022-01-03,-5.5036875,0.4013541666666667,NA,1.9948541666666666
SE-Hmr,2022-01-04,-6.2449375,0.4026354166666667,NA,1.9941041666666668
SE-Hmr,2022-01-05,-10.088083333333334,0.4030416666666667,NA,1.9915
SE-Hmr,2022-01-06,-10.298125,0.4017604166666667,NA,6.924125
SE-Hmr,2022-01-07,-15.283333333333333,0.4051041666666667,NA,7.2580625
SE-Hmr,2022-01-08,-16.731666666666666,0.4043541666666667,NA,2.5548125
SE-Hmr,2022-01-09,-15.150756812083891,0.3977488817661758,NA,3.1945932797939776
SE-Hmr,2022-01-10,-11.457939109501313,0.40813447595838104,NA,4.050604166666667
SE-Hmr,2022-01-11,-3.258583333333333,0.41792708333333334,NA,1.627125
SE-Hmr,2022-01-12,-1.28375,0.42628125,NA,6.292854166666666
SE-Hmr,2022-01-13,1.044875,0.4362083333333333,NA,7.646
SE-Hmr,2022-01-14,-0.5745208333333334,0.43990625,NA,12.106
SE-Hmr,2022-01-15,-2.3157916666666667,0.44125000000000003,NA,10.929020833333333
SE-Hmr,2022-01-16,-0.24785416666666665,0.4465,NA,4.781479166666667
SE-Hmr,2022-01-17,-4.427458333333333,0.444,NA,15.1414375
SE-Hmr,2022-01-18,-2.0955416666666666,0.4406145833333333,NA,8.209645833333333
SE-Hmr,2022-01-19,3.0777083333333333,0.45442708333333337,NA,11.6585
SE-Hmr,2022-01-20,-4.0546875,0.46547916666666667,NA,23.737750000000002
SE-Hmr,2022-01-21,-7.684520833333333,0.4528125,NA,25.787395833333335
SE-Hmr,2022-01-22,-7.2368958333333335,0.43684375,NA,9.762479166666667
SE-Hmr,2022-01-23,3.7198333333333333,0.45605208333333336,NA,21.361708333333333
SE-Hmr,2022-01-24,2.328520833333333,0.49241666666666667,NA,20.708833333333335
SE-Hmr,2022-01-25,-4.334958333333334,0.4961770833333333,NA,33.307604166666664
SE-Hmr,2022-01-26,-6.318833333333333,0.46134375,NA,22.559020833333335
SE-Hmr,2022-01-27,-5.933708333333334,0.44816666666666666,NA,10.7750625
SE-Hmr,2022-01-28,-5.4978125,0.4589375,NA,39.01620833333333
SE-Hmr,2022-01-29,-4.337291666666666,0.45826041666666667,NA,11.535041666666666
SE-Hmr,2022-01-30,-7.437708333333333,0.46845833333333337,NA,23.496458333333333
SE-Hmr,2022-01-31,-12.858125,0.4503229166666667,NA,50.3454375
